"","rxddrgid","rxddrug","rxdingfl","rxddci1a","rxddci1b","rxddci1c","rxddci2a","rxddci2b","rxddci2c","rxddci3a","rxddci3b","rxddci3c","rxddci4a","rxddci4b","rxddci4c","rxdici1a","rxdici1b","rxdici1c","rxdici2a","rxdici2b","rxdici2c","rxdici3a","rxdici3b","rxdici3c","rxdici4a","rxdici4b","rxdici4c","rxdici5a","rxdici5b","rxdici5c","rxdici6a","rxdici6b","rxdici6c","rxddcn1a","rxddcn1b","rxddcn1c","rxddcn2a","rxddcn2b","rxddcn2c","rxddcn3a","rxddcn3b","rxddcn3c","rxddcn4a","rxddcn4b","rxddcn4c","rxdicn1a","rxdicn1b","rxdicn1c","rxdicn2a","rxdicn2b","rxdicn2c","rxdicn3a","rxdicn3b","rxdicn3c","rxdicn4a","rxdicn4b","rxdicn4c","rxdicn5a","rxdicn5b","rxdicn5c","rxdicn6a","rxdicn6b","rxdicn6c"
"364","d00562","FLUOXYMESTERONE",1,20,24,NA,97,101,182,NA,NA,NA,NA,NA,NA,20,24,NA,97,101,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTINEOPLASTICS","ANTINEOPLASTIC HORMONES","","HORMONES/HORMONE MODIFIERS","SEX HORMONES","ANDROGENS AND ANABOLIC STEROIDS","","","","","","","ANTINEOPLASTICS","ANTINEOPLASTIC HORMONES","","HORMONES/HORMONE MODIFIERS","SEX HORMONES","ANDROGENS AND ANABOLIC STEROIDS","","","","","","","","","","","",""
"365","d00563","FINASTERIDE",1,97,288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","5-ALPHA-REDUCTASE INHIBITORS","","","","","","","","","","","HORMONES/HORMONE MODIFIERS","5-ALPHA-REDUCTASE INHIBITORS","","","","","","","","","","","","","","","",""
"366","d00565","STANOZOLOL",1,97,101,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,101,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","ANDROGENS AND ANABOLIC STEROIDS","","","","","","","","","","HORMONES/HORMONE MODIFIERS","SEX HORMONES","ANDROGENS AND ANABOLIC STEROIDS","","","","","","","","","","","","","","",""
"367","d00566","OXANDROLONE",1,97,101,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,101,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","ANDROGENS AND ANABOLIC STEROIDS","","","","","","","","","","HORMONES/HORMONE MODIFIERS","SEX HORMONES","ANDROGENS AND ANABOLIC STEROIDS","","","","","","","","","","","","","","",""
"368","d00568","NANDROLONE",1,97,101,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,101,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","ANDROGENS AND ANABOLIC STEROIDS","","","","","","","","","","HORMONES/HORMONE MODIFIERS","SEX HORMONES","ANDROGENS AND ANABOLIC STEROIDS","","","","","","","","","","","","","","",""
"369","d00569","CLOMIPHENE",1,97,426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SYNTHETIC OVULATION STIMULANTS","","","","","","","","","","","HORMONES/HORMONE MODIFIERS","SYNTHETIC OVULATION STIMULANTS","","","","","","","","","","","","","","","",""
"370","d00576","SOMATREM",1,97,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","GROWTH HORMONES","","","","","","","","","","","HORMONES/HORMONE MODIFIERS","GROWTH HORMONES","","","","","","","","","","","","","","","",""
"371","d00577","SOMATROPIN",1,97,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","GROWTH HORMONES","","","","","","","","","","","HORMONES/HORMONE MODIFIERS","GROWTH HORMONES","","","","","","","","","","","","","","","",""
"372","d00583","DESMOPRESSIN",1,97,414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","ANTIDIURETIC HORMONES","","","","","","","","","","","HORMONES/HORMONE MODIFIERS","ANTIDIURETIC HORMONES","","","","","","","","","","","","","","","",""
"373","d00587","METHYLERGONOVINE",1,113,412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GENITOURINARY TRACT AGENTS","UTEROTONIC AGENTS","","","","","","","","","","","GENITOURINARY TRACT AGENTS","UTEROTONIC AGENTS","","","","","","","","","","","","","","","",""
"374","d00593","GLUCAGON",1,358,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METABOLIC AGENTS","GLUCOSE ELEVATING AGENTS","","","","","","","","","","","METABOLIC AGENTS","GLUCOSE ELEVATING AGENTS","","","","","","","","","","","","","","","",""
"375","d00595","GLUCOSE",1,358,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METABOLIC AGENTS","GLUCOSE ELEVATING AGENTS","","","","","","","","","","","METABOLIC AGENTS","GLUCOSE ELEVATING AGENTS","","","","","","","","","","","","","","","",""
"376","d00598","CALCITONIN",1,97,411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","CALCITONIN","","","","","","","","","","","HORMONES/HORMONE MODIFIERS","CALCITONIN","","","","","","","","","","","","","","","",""
"377","d00599","ETIDRONATE",1,358,409,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,409,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METABOLIC AGENTS","BONE RESORPTION INHIBITORS","BISPHOSPHONATES","","","","","","","","","","METABOLIC AGENTS","BONE RESORPTION INHIBITORS","BISPHOSPHONATES","","","","","","","","","","","","","","",""
"378","d00608","FLUDROCORTISONE",1,97,98,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,98,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","ADRENAL CORTICAL STEROIDS","MINERALOCORTICOIDS","","","","","","","","","","HORMONES/HORMONE MODIFIERS","ADRENAL CORTICAL STEROIDS","MINERALOCORTICOIDS","","","","","","","","","","","","","","",""
"379","d00609","CORTISONE",1,97,98,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,98,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","ADRENAL CORTICAL STEROIDS","GLUCOCORTICOIDS","","","","","","","","","","HORMONES/HORMONE MODIFIERS","ADRENAL CORTICAL STEROIDS","GLUCOCORTICOIDS","","","","","","","","","","","","","","",""
"380","d00620","TRIAMCINOLONE",1,97,98,301,122,130,296,NA,NA,NA,NA,NA,NA,97,98,301,122,130,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","ADRENAL CORTICAL STEROIDS","GLUCOCORTICOIDS","RESPIRATORY AGENTS","RESPIRATORY INHALANT PRODUCTS","INHALED CORTICOSTEROIDS","","","","","","","HORMONES/HORMONE MODIFIERS","ADRENAL CORTICAL STEROIDS","GLUCOCORTICOIDS","RESPIRATORY AGENTS","RESPIRATORY INHALANT PRODUCTS","INHALED CORTICOSTEROIDS","","","","","","","","","","","",""
"381","d00628","BETAMETHASONE",1,97,98,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,98,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","ADRENAL CORTICAL STEROIDS","GLUCOCORTICOIDS","","","","","","","","","","HORMONES/HORMONE MODIFIERS","ADRENAL CORTICAL STEROIDS","GLUCOCORTICOIDS","","","","","","","","","","","","","","",""
"382","d00639","DICHLORPHENAMIDE",1,40,49,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,49,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","DIURETICS","CARBONIC ANHYDRASE INHIBITORS","","","","","","","","","","CARDIOVASCULAR AGENTS","DIURETICS","CARBONIC ANHYDRASE INHIBITORS","","","","","","","","","","","","","","",""
"383","d00640","METHAZOLAMIDE",1,40,49,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,49,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","DIURETICS","CARBONIC ANHYDRASE INHIBITORS","","","","","","","","","","CARDIOVASCULAR AGENTS","DIURETICS","CARBONIC ANHYDRASE INHIBITORS","","","","","","","","","","","","","","",""
"384","d00641","BENDROFLUMETHIAZIDE",1,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE DIURETICS","","","","","","","","","","CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE DIURETICS","","","","","","","","","","","","","","",""
"385","d00643","METHYCLOTHIAZIDE",1,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE DIURETICS","","","","","","","","","","CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE DIURETICS","","","","","","","","","","","","","","",""
"386","d00645","HYDROFLUMETHIAZIDE",1,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE DIURETICS","","","","","","","","","","CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE DIURETICS","","","","","","","","","","","","","","",""
"387","d00646","TRICHLORMETHIAZIDE",1,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE DIURETICS","","","","","","","","","","CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE DIURETICS","","","","","","","","","","","","","","",""
"388","d00651","UREA TOPICAL",1,133,136,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL EMOLLIENTS","","","","","","","","","","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL EMOLLIENTS","","","","","","","","","","","","","","",""
"389","d00652","GLYCERIN",1,87,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GASTROINTESTINAL AGENTS","LAXATIVES","","","","","","","","","","","GASTROINTESTINAL AGENTS","LAXATIVES","","","","","","","","","","","","","","","",""
"390","d00653","ISOSORBIDE",1,105,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MISCELLANEOUS AGENTS","MISCELLANEOUS UNCATEGORIZED AGENTS","","","","","","","","","","","MISCELLANEOUS AGENTS","MISCELLANEOUS UNCATEGORIZED AGENTS","","","","","","","","","","","","","","","",""
"391","d00655","THYROID DESICCATED",1,97,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","THYROID HORMONES","","","","","","","","","","","HORMONES/HORMONE MODIFIERS","THYROID HORMONES","","","","","","","","","","","","","","","",""
"392","d00658","LIOTHYRONINE",1,97,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","THYROID HORMONES","","","","","","","","","","","HORMONES/HORMONE MODIFIERS","THYROID HORMONES","","","","","","","","","","","","","","","",""
"393","d00659","LIOTRIX",1,97,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","THYROID HORMONES","","","","","","","","","","","HORMONES/HORMONE MODIFIERS","THYROID HORMONES","","","","","","","","","","","","","","","",""
"394","d00683","LIDOCAINE TOPICAL",1,133,136,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL ANESTHETICS","","","","","","","","","","TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL ANESTHETICS","","","","","","","","","","","","","","",""
"395","d00689","AMLODIPINE",1,40,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","CALCIUM CHANNEL BLOCKING AGENTS","","","","","","","","","","","CARDIOVASCULAR AGENTS","CALCIUM CHANNEL BLOCKING AGENTS","","","","","","","","","","","","","","","",""
"396","d00692","CYCLANDELATE",1,40,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","PERIPHERAL VASODILATORS","","","","","","","","","","","CARDIOVASCULAR AGENTS","PERIPHERAL VASODILATORS","","","","","","","","","","","","","","","",""
"397","d00693","ISOXSUPRINE",1,40,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","PERIPHERAL VASODILATORS","","","","","","","","","","","CARDIOVASCULAR AGENTS","PERIPHERAL VASODILATORS","","","","","","","","","","","","","","","",""
"398","d00695","PAPAVERINE",1,40,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","PERIPHERAL VASODILATORS","","","","","","","","","","","CARDIOVASCULAR AGENTS","PERIPHERAL VASODILATORS","","","","","","","","","","","","","","","",""
"399","d00696","ETHAVERINE",1,40,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","PERIPHERAL VASODILATORS","","","","","","","","","","","CARDIOVASCULAR AGENTS","PERIPHERAL VASODILATORS","","","","","","","","","","","","","","","",""
"400","d00697","ISOPROTERENOL",1,40,54,NA,40,433,NA,122,125,180,NA,NA,NA,40,54,NA,40,433,NA,122,125,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","VASOPRESSORS","","CARDIOVASCULAR AGENTS","CATECHOLAMINES","","RESPIRATORY AGENTS","BRONCHODILATORS","ADRENERGIC BRONCHODILATORS","","","","CARDIOVASCULAR AGENTS","VASOPRESSORS","","CARDIOVASCULAR AGENTS","CATECHOLAMINES","","RESPIRATORY AGENTS","BRONCHODILATORS","ADRENERGIC BRONCHODILATORS","","","","","","","","",""
"401","d00699","EPINEPHRINE",1,40,54,NA,40,433,NA,122,125,180,NA,NA,NA,40,54,NA,40,433,NA,122,125,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","VASOPRESSORS","","CARDIOVASCULAR AGENTS","CATECHOLAMINES","","RESPIRATORY AGENTS","BRONCHODILATORS","ADRENERGIC BRONCHODILATORS","","","","CARDIOVASCULAR AGENTS","VASOPRESSORS","","CARDIOVASCULAR AGENTS","CATECHOLAMINES","","RESPIRATORY AGENTS","BRONCHODILATORS","ADRENERGIC BRONCHODILATORS","","","","","","","","",""
"402","d00700","EPHEDRINE",1,40,54,NA,122,127,NA,NA,NA,NA,NA,NA,NA,40,54,NA,122,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","VASOPRESSORS","","RESPIRATORY AGENTS","DECONGESTANTS","","","","","","","","CARDIOVASCULAR AGENTS","VASOPRESSORS","","RESPIRATORY AGENTS","DECONGESTANTS","","","","","","","","","","","","",""
"403","d00703","METHOXAMINE",1,40,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","VASOPRESSORS","","","","","","","","","","","CARDIOVASCULAR AGENTS","VASOPRESSORS","","","","","","","","","","","","","","","",""
"404","d00704","PHENYLEPHRINE",1,40,54,NA,122,127,NA,NA,NA,NA,NA,NA,NA,40,54,NA,122,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","VASOPRESSORS","","RESPIRATORY AGENTS","DECONGESTANTS","","","","","","","","CARDIOVASCULAR AGENTS","VASOPRESSORS","","RESPIRATORY AGENTS","DECONGESTANTS","","","","","","","","","","","","",""
"405","d00709","BISOPROLOL",1,40,47,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,47,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","BETA-ADRENERGIC BLOCKING AGENTS","CARDIOSELECTIVE BETA BLOCKERS","","","","","","","","","","CARDIOVASCULAR AGENTS","BETA-ADRENERGIC BLOCKING AGENTS","CARDIOSELECTIVE BETA BLOCKERS","","","","","","","","","","","","","","",""
"406","d00717","GUANFACINE",1,40,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIADRENERGIC AGENTS, CENTRALLY ACTING","","","","","","","","","","","CARDIOVASCULAR AGENTS","ANTIADRENERGIC AGENTS, CENTRALLY ACTING","","","","","","","","","","","","","","","",""
"407","d00725","GUANADREL",1,40,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING","","","","","","","","","","","CARDIOVASCULAR AGENTS","ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING","","","","","","","","","","","","","","","",""
"408","d00726","DOXAZOSIN",1,40,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING","","","","","","","","","","","CARDIOVASCULAR AGENTS","ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING","","","","","","","","","","","","","","","",""
"409","d00728","RAMIPRIL",1,40,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANGIOTENSIN CONVERTING ENZYME INHIBITORS","","","","","","","","","","","CARDIOVASCULAR AGENTS","ANGIOTENSIN CONVERTING ENZYME INHIBITORS","","","","","","","","","","","","","","","",""
"410","d00730","BENAZEPRIL",1,40,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANGIOTENSIN CONVERTING ENZYME INHIBITORS","","","","","","","","","","","CARDIOVASCULAR AGENTS","ANGIOTENSIN CONVERTING ENZYME INHIBITORS","","","","","","","","","","","","","","","",""
"411","d00732","LISINOPRIL",1,40,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANGIOTENSIN CONVERTING ENZYME INHIBITORS","","","","","","","","","","","CARDIOVASCULAR AGENTS","ANGIOTENSIN CONVERTING ENZYME INHIBITORS","","","","","","","","","","","","","","","",""
"412","d00734","PHENOXYBENZAMINE",1,40,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","MISCELLANEOUS CARDIOVASCULAR AGENTS","","","","","","","","","","","CARDIOVASCULAR AGENTS","MISCELLANEOUS CARDIOVASCULAR AGENTS","","","","","","","","","","","","","","","",""
"413","d00743","SODIUM POLYSTYRENE SULFONATE",1,105,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MISCELLANEOUS AGENTS","MISCELLANEOUS UNCATEGORIZED AGENTS","","","","","","","","","","","MISCELLANEOUS AGENTS","MISCELLANEOUS UNCATEGORIZED AGENTS","","","","","","","","","","","","","","","",""
"414","d00744","COLESTIPOL",1,358,19,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,19,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METABOLIC AGENTS","ANTIHYPERLIPIDEMIC AGENTS","BILE ACID SEQUESTRANTS","","","","","","","","","","METABOLIC AGENTS","ANTIHYPERLIPIDEMIC AGENTS","BILE ACID SEQUESTRANTS","","","","","","","","","","","","","","",""
"415","d00746","SIMVASTATIN",1,358,19,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,19,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METABOLIC AGENTS","ANTIHYPERLIPIDEMIC AGENTS","HMG-COA REDUCTASE INHIBITORS","","","","","","","","","","METABOLIC AGENTS","ANTIHYPERLIPIDEMIC AGENTS","HMG-COA REDUCTASE INHIBITORS","","","","","","","","","","","","","","",""
"416","d00749","ALBUTEROL",1,122,125,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,125,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","BRONCHODILATORS","ADRENERGIC BRONCHODILATORS","","","","","","","","","","RESPIRATORY AGENTS","BRONCHODILATORS","ADRENERGIC BRONCHODILATORS","","","","","","","","","","","","","","",""
"417","d00750","METAPROTERENOL",1,122,125,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,125,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","BRONCHODILATORS","ADRENERGIC BRONCHODILATORS","","","","","","","","","","RESPIRATORY AGENTS","BRONCHODILATORS","ADRENERGIC BRONCHODILATORS","","","","","","","","","","","","","","",""
"418","d00751","ISOETHARINE",1,122,125,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,125,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","BRONCHODILATORS","ADRENERGIC BRONCHODILATORS","","","","","","","","","","RESPIRATORY AGENTS","BRONCHODILATORS","ADRENERGIC BRONCHODILATORS","","","","","","","","","","","","","","",""
"419","d00752","TERBUTALINE",1,113,427,NA,122,125,180,NA,NA,NA,NA,NA,NA,113,427,NA,122,125,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GENITOURINARY TRACT AGENTS","TOCOLYTIC AGENTS","","RESPIRATORY AGENTS","BRONCHODILATORS","ADRENERGIC BRONCHODILATORS","","","","","","","GENITOURINARY TRACT AGENTS","TOCOLYTIC AGENTS","","RESPIRATORY AGENTS","BRONCHODILATORS","ADRENERGIC BRONCHODILATORS","","","","","","","","","","","",""
"420","d00754","BITOLTEROL",1,122,125,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,125,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","BRONCHODILATORS","ADRENERGIC BRONCHODILATORS","","","","","","","","","","RESPIRATORY AGENTS","BRONCHODILATORS","ADRENERGIC BRONCHODILATORS","","","","","","","","","","","","","","",""
"421","d00755","PIRBUTEROL",1,122,125,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,125,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","BRONCHODILATORS","ADRENERGIC BRONCHODILATORS","","","","","","","","","","RESPIRATORY AGENTS","BRONCHODILATORS","ADRENERGIC BRONCHODILATORS","","","","","","","","","","","","","","",""
"422","d00756","OXTRIPHYLLINE",1,122,125,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,125,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","BRONCHODILATORS","METHYLXANTHINES","","","","","","","","","","RESPIRATORY AGENTS","BRONCHODILATORS","METHYLXANTHINES","","","","","","","","","","","","","","",""
"423","d00758","AMINOPHYLLINE",1,122,125,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,125,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","BRONCHODILATORS","METHYLXANTHINES","","","","","","","","","","RESPIRATORY AGENTS","BRONCHODILATORS","METHYLXANTHINES","","","","","","","","","","","","","","",""
"424","d00759","DYPHYLLINE",1,122,125,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,125,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","BRONCHODILATORS","METHYLXANTHINES","","","","","","","","","","RESPIRATORY AGENTS","BRONCHODILATORS","METHYLXANTHINES","","","","","","","","","","","","","","",""
